nombre,precio,tienda,nombre_original
CATHACH (CLESP) COLECCIÓN LEGENDARIA SECRETA,3990,Pandora Store,CATHACH (CLESP) COLECCIÓN LEGENDARIA SECRETA
FERGUS (CLESP) COLECCIÓN LEGENDARIA SECRETA,3990,Pandora Store,FERGUS (CLESP) COLECCIÓN LEGENDARIA SECRETA
CONAND (CLESP) COLECCIÓN LEGENDARIA SECRETA,3990,Pandora Store,CONAND (CLESP) COLECCIÓN LEGENDARIA SECRETA
AMOSIS I (CLESP) COLECCIÓN LEGENDARIA SECRETA,3990,Pandora Store,AMOSIS I (CLESP) COLECCIÓN LEGENDARIA SECRETA
HAQUIKA (CLESP) COLECCIÓN LEGENDARIA SECRETA,3990,Pandora Store,HAQUIKA (CLESP) COLECCIÓN LEGENDARIA SECRETA
JINETES DE FUEGO (CLESP) COLECCIÓN LEGENDARIA SECRETA,3990,Pandora Store,JINETES DE FUEGO (CLESP) COLECCIÓN LEGENDARIA SECRETA
SIR PERSIVAL UR,3500,Pandora Store,SIR PERSIVAL UR - SINGLES MITOS Y LEYENDAS
MORIR DE PIE (LOOTBOX 2023 - DORADA),3500,Pandora Store,MORIR DE PIE (LOOTBOX 2023 - DORADA) - SINGLES MITOS Y LEYENDAS
MANZANA SIDHE (HD ANIVERSARIO - MR),3500,Pandora Store,MANZANA SIDHE (HD ANIVERSARIO - MR)
HERA ANIVERSARIO,3490,Pandora Store,HERA ANIVERSARIO - SINGLES MITOS Y LEYENDAS
TOM THUMB,3000,Pandora Store,TOM THUMB - SINGLES MITOS Y LEYENDAS
FATAE,3000,Pandora Store,FATAE - SINGLES MITOS Y LEYENDAS
MANZANA SIDHE UR,3000,Pandora Store,MANZANA SIDHE UR - SINGLES MITOS Y LEYENDAS
GUARDIA REAL SHOGUN,3000,Pandora Store,GUARDIA REAL SHOGUN - SINGLES MITOS Y LEYENDAS
GENERAL CORB REWORK,3000,Pandora Store,GENERAL CORB REWORK - SINGLES MITOS Y LEYENDAS
RAUDO SURCADOR MARINO REWORK,3000,Pandora Store,RAUDO SURCADOR MARINO REWORK - SINGLES MITOS Y LEYENDAS
LUZ DE PROMETEO (TKPB25 - BUY A BOX),3000,Pandora Store,LUZ DE PROMETEO (TKPB25 - BUY A BOX) - SINGLES MITOS Y LEYENDAS
RESPLANDOR DE HEKA (TKPB25 - JUICIO Y VISIÓN),3000,Pandora Store,RESPLANDOR DE HEKA (TKPB25 - JUICIO Y VISIÓN) - SINGLES MITOS Y LEYENDAS
FORMA DE LINCE (TKPB25 - JUICIO Y VISIÓN),3000,Pandora Store,FORMA DE LINCE (TKPB25 - JUICIO Y VISIÓN) - SINGLES MITOS Y LEYENDAS
GLAS GAIBHENENN (TKPB25 - JUICIO Y VISIÓN),3000,Pandora Store,GLAS GAIBHENENN (TKPB25 - JUICIO Y VISIÓN) - SINGLES MITOS Y LEYENDAS
